교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
행주3교,1,서울특별시,강서구,145,18,3,기타,B,DB-24,10,3,55,
양화대교북단램프교(F-1),3,서울특별시,마포구,59,8,1,강박스거더교,B,DB-24,26,3,23,
양화대교북단램프교(F-2),3,서울특별시,마포구,57,8,1,강박스거더교,B,DB-24,26,3,19,
성산대교북단램프교(C-1),3,서울특별시,마포구,60,8,1,강박스거더교,B,DB-24,26,3,24,
성산대교북단램프교(C-2),3,서울특별시,마포구,54,8,1,강박스거더교,B,DB-24,26,2,30,
한남입체시설램프A,3,서울특별시,강남구,90,10,2,강박스거더교,B,DB-24,28,2,45,
천호대교 북단U턴차로교,3,서울특별시,광진구,35,43,10,PSCI거더교,B,DB-24,20,1,35,
아천IC Ramp-F,1,경기도,구리시,276,6,1,강박스거더교,B,DB-24,7,8,52,
아천IC Ramp-G,1,경기도,구리시,549,6,1,강박스거더교,B,DB-24,7,23,52,
아천IC Ramp-K,2,경기도,구리시,120,6,1,기타,B,DB-24,7,3,40,
아천IC Ramp-L,2,경기도,구리시,120,6,1,기타,B,DB-24,7,3,40,
아차산대교(하행),1,서울특별시,광진구,2450,14.8,3,강박스거더교,B,DB-24,20,58,50,
Ramp-A교,1,서울특별시,송파구,522.1,6.9,1,아치교,B,DB-24,4,10,70,
Ramp-B교,1,서울특별시,송파구,416,6.9,1,아치교,B,DB-24,4,9,51,
국민대입구 램프,2,서울특별시,성북구,315,5.9,1,강박스거더교,B,DB-24,16,7,45,
국민대입구진입램프,2,서울특별시,성북구,202,6,1,강박스거더교,B,DB-24,6,5,45,
독산1교,3,서울특별시,금천구,93.1,12,1,라멘교,B,DB-24,25,2,77.9,
독산2교,2,서울특별시,금천구,128.6,10.7,1,RC슬래브교,B,DB-24,25,10,15,
상촌고가차도,3,서울특별시,서초구,67,41.7,10,RC슬래브교,B,DB-24,28,4,17.5,
서빙고고가차도(신),1,서울특별시,용산구,405,10.4,2,강박스거더교,B,DB-24,7,9,50,
호암대교,1,서울특별시,금천구,819,31,8,강박스거더교,C,DB-24,7,12,85,29864
호암대교 DOWN RAMP-A교,1,경기도,광명시,600,8.9,4,강박스거더교,C,DB-24,7,11,65,29864
호암대교 DOWN RAMP-B교,1,경기도,광명시,390,12.2,3,강박스거더교,C,DB-24,7,8,60,29864
호암대교 UP RAMP교,1,서울특별시,금천구,470.2,9.4,2,강박스거더교,C,DB-24,7,9,60,29864
여의중류램프교,1,서울특별시,영등포구,234,5.5,1,강박스거더교,B,DB-24,4,6,66,33252
정릉천고가도로(1공구),1,서울특별시,성동구,2462,33.8,6,강박스거더교,B,DB-24,25,47,75,
정릉천고가도로(2공구),1,서울특별시,성북구,3500,33.7,4,PSC슬래브교,B,DB-24,24,69,60,
홍제천고가교(북부1공구),1,서울특별시,서대문구,4997,26,6,PSC박스거더교,B,DB-24,28,103,52.5,
홍제천고가교(북부2공구),1,서울특별시,서대문구,1981,26,6,PSC박스거더교,B,DB-24,24,40,74.4,
동부간선진입교,2,서울특별시,노원구,144.1,22.9,1,RC슬래브교,B,DB-24,3,7,28,
우면산고가교,1,서울특별시,서초구,475,28,6,강박스거더교,B,DB-24,7,8,74,
역곡천교,기타,서울특별시,구로구,45,30.9,7,RC슬래브교,B,DB-24,11,1,45.3,
선유교,기타,서울특별시,영등포구,357,8.5,4,기타,B,기타,21,19,120,
행주IC교,기타,서울특별시,강서구,90,10.4,11,RC슬래브교,B,DB-24,23,5,20,
금호고가,기타,서울특별시,성동구,45,15.5,5,프리플렉스거더교,B,DB-24,11,1,45,
여의상류ICBOX,기타,서울특별시,동작구,211.4,7,5,PSC박스거더교,B,DB-18,46,1,61,
여의상류샛강IC2교,기타,서울특별시,영등포구,90,35.7,5,PSC박스거더교,B,DB-24,13,1,30,
안양교,기타,서울특별시,구로구,203,22,4,강I거더교,C,DB-18,46,10,24.4,
영동6교,1,서울특별시,강남구,200,50,8,PSCI거더교,B,DB-24,38,5,50,
반포대교,1,서울특별시,용산구,1490,25,6,강박스거더교,B,DB-24,41,49,45,86532
원효대교,1,서울특별시,용산구,1120,20,4,PSC박스거더교,B,DB-24,42,12,100,47267
한남대교(하류),1,서울특별시,용산구,919,25.5,6,강플레이트거더교,B,DB-24,22,18,65.4,
한남대교(상류),1,서울특별시,용산구,919,25.7,6,강플레이트거더교,B,DB-24,18,28,50,216980
한강대교(구교),1,서울특별시,용산구,841,20,8,아치교,E,DB-24,86,25,64,112986
한강대교(신교),1,서울특별시,용산구,840,20,8,아치교,E,DB-24,41,25,64,112986
성수대교,1,서울특별시,성동구,1160,35,6,트러스교,B,DB-24,26,21,120,0
동호대교,1,서울특별시,성동구,1220,20.4,6,강박스거더교,B,DB-24,39,24,80,92389
올림픽대교,1,서울특별시,광진구,1470,30,6,사장교,B,DB-24,33,24,300,62535
잠실철교(도로교),1,서울특별시,광진구,1235,8.8,1,강박스거더교,B,DB-18,44,26,50,7253
비우당교,1,서울특별시,성동구,44.6,26.5,2,아치교,B,DB-24,18,1,44.6,
구룡교,1,서울특별시,마포구,997,43.9,8,강박스거더교,B,DB-24,21,20,50,0
신정교,1,서울특별시,구로구,535,26,6,프리플렉스거더교,E,DB-24,33,15,40,
가양대교,1,서울특별시,강서구,1700,34,6,강박스거더교,B,DB-24,21,30,180,
양평교,1,서울특별시,영등포구,555,20,4,강박스거더교,B,DB-24,32,16,60,0
광진교,1,서울특별시,광진구,1056,20,2,강박스거더교,B,DB-24,18,24,66,28587
광명고가교,1,서울특별시,구로구,640,25,6,강박스거더교,E,DB-24,25,8,50,
행주대교(상류교),1,서울특별시,강서구,1460,14.5,3,PSC박스거더교,E,DB-24,23,24,120,20508
행주대교(하류교),1,서울특별시,강서구,1460,14.5,3,사장교,B,DB-24,28,24,120,20508
한남1고가도로교,1,서울특별시,용산구,767,9,2,강I거더교,B,DB-24,32,23,55,72280
보라매고가도로교,1,서울특별시,관악구,3526,15,6,강박스거더교,E,DB-24,29,73,65,
사당고가도로교,1,서울특별시,서초구,300,22,8,강박스거더교,B,DB-24,26,6,50,
이수고가도로교,1,서울특별시,서초구,1819,9,2,RC중공슬래브교,B,DB-24,22,63,55,
두무개다리고가도로교,1,서울특별시,용산구,1064,10,2,RC슬래브교,B,DB-24,20,58,24,
모래내고가교,1,서울특별시,마포구,613,16,4,강박스거더교,C,DB-18,44,13,59.3,
오류고가도로교,1,서울특별시,구로구,423,18.7,4,강박스거더교,B,DB-24,24,7,61,
영등포역고가도로교,1,서울특별시,영등포구,790,15,4,강박스거더교,E,DB-24,27,12,66,
구리암사대교,1,서울특별시,강동구,1133,27.5,6,아치교,B,DB-24,7,15,180,
겸재교,1,서울특별시,중랑구,235,18.2,4,엑스트라도즈드교,B,DB-24,6,3,105,
메뚜기다리,1,서울특별시,은평구,35,34.8,6,강플레이트거더교,B,DB-24,15,1,35,
서해안로 연결램프교,1,서울특별시,구로구,234.4,6.1,1,강박스거더교,E,DB-24,11,5,50,
아천IC Ramp-B,2,경기도,구리시,188,8.8,1,강박스거더교,B,DB-24,7,4,48,
아천IC Ramp-C,2,경기도,구리시,252,6.3,1,강박스거더교,A,DB-24,7,8,46,
암사 IC Ramp-G,1,서울특별시,강동구,406,9.8,1,강박스거더교,A,DB-24,7,9,50,
암사IC Ramp-A,2,서울특별시,강동구,169,8.3,1,강박스거더교,A,DB-24,7,6,40,
암사IC Ramp-D,1,서울특별시,강동구,338,6.8,1,강박스거더교,B,DB-24,7,8,52,
암사IC Ramp-E,2,서울특별시,강동구,245,7,1,강박스거더교,B,DB-24,7,9,45,
월드컵대교(접속교),1,서울특별시,마포구,212,21.5,4,강박스거더교,B,DB-24,21,3,92,
응봉교,1,서울특별시,성동구,633,5,6,아치교,B,DB-24,7,12,125,
사당IC교(성산방향),1,서울특별시,서초구,145,16.8,4,강박스거더교,B,DB-24,7,3,60,
사당IC교(수서방향),1,서울특별시,서초구,135,16.8,4,강박스거더교,B,DB-24,7,3,60,
선암교(성산방향),1,서울특별시,서초구,540,13.5,3,강박스거더교,B,DB-24,7,12,61.5,
선암교(수서방향),1,서울특별시,서초구,513,13.5,3,강박스거더교,B,DB-24,7,11,60,
아치울교(사가정),1,경기도,구리시,75,13,2,아치교,B,DB-24,9,1,75,
아치울교(암사),1,경기도,구리시,75,13,2,아치교,B,DB-24,9,1,75,
장자천교(사가정방향),2,경기도,구리시,120,23,4,PSCI거더교,B,DB-24,9,3,40,
장자천교(암사방향),2,경기도,구리시,120,23,4,PSCI거더교,B,DB-24,9,3,40,
선암고가교,1,서울특별시,서초구,150,23.9,4,강박스거더교,B,DB-24,20,3,50,
동부간선진출램프교,1,서울특별시,강남구,348,6,1,강박스거더교,B,DB-24,13,7,51,
진입로C,기타,서울특별시,양천구,103,12,1,PSCI거더교,B,기타,30,4,26,
신정양천 정문 진입로,2,서울특별시,양천구,156,12,1,PSCI거더교,B,기타,30,6,26,
신정양천 중문 진입로,2,서울특별시,양천구,129,10,1,PSCI거더교,B,기타,30,5,26,
신정양천 후문진입로,2,서울특별시,양천구,252.1,10,2,PSCI거더교,B,기타,30,10,26,
탄천우안 진출램프,1,서울특별시,송파구,383,7.5,1,강박스거더교,B,DB-24,6,8,60,
이촌고가차도,2,서울특별시,용산구,256,16,4,PSCI거더교,E,DB-18,52,9,39,
용답교,3,서울특별시,성동구,41.4,16,2,RC슬래브교,C,DB-18,51,4,11,
안감교,3,서울특별시,동대문구,22.8,15.3,2,RC슬래브교,B,DB-18,58,4,6,
청량리역구내민자역사고가도로 A Line,2,서울특별시,동대문구,298,20.5,4,강박스거더교,B,DB-24,13,8,44,
배봉차도육교,3,서울특별시,동대문구,18,20,2,프리플렉스거더교,B,DB-24,20,1,18,
번창교,3,서울특별시,강북구,54,15,2,RC슬래브교,C,DB-18,29,4,15,
벌리교,기타,서울특별시,강북구,54,15,2,기타,A,기타,5,2,27,
신창교,3,서울특별시,강북구,49,14,2,RCT거더교,B,DB-18,44,6,8.3,
제2우이교,3,서울특별시,강북구,42,4.1,2,RC슬래브교,C,DB-13.5,52,6,7,
우이령교,기타,서울특별시,강북구,19.5,6,0,기타,A,DB-24,6,1,19.5,
