교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
조남3교(목포1),기타,경기도,시흥시,15.8,5.5,1,라멘교,B,DB-24,8,1,15.8,91739
조남3교(서울0),기타,경기도,시흥시,16.6,23.4,5,라멘교,B,DB-24,28,1,16.6,91739
조남3교(서울1),기타,경기도,시흥시,15.6,4,1,라멘교,B,DB-24,8,1,15.6,91739
조남2교(목포0),기타,경기도,시흥시,13.9,22.1,3,라멘교,B,DB-24,28,1,13.9,51587
조남2교(목포1),기타,경기도,시흥시,13.9,7.2,1,라멘교,A,DB-24,8,1,13.9,51587
조남2교(서울0),기타,경기도,시흥시,13.9,20.9,3,라멘교,B,DB-24,28,1,13.9,51587
조남2교(서울1),기타,경기도,시흥시,13.9,7.2,1,라멘교,A,DB-24,8,1,13.9,51587
조남1교(목포0),1,경기도,시흥시,75.2,15.7,3,강박스거더교,B,DB-24,28,3,50,51587
조남1교(목포1),1,경기도,시흥시,73.3,7.2,1,강박스거더교,B,DB-24,8,3,50,51587
조남1교(서울0),1,경기도,시흥시,74.1,15.7,3,강박스거더교,B,DB-24,28,3,50.1,51587
조남1교(서울1),1,경기도,시흥시,74.5,7.3,1,강박스거더교,B,DB-24,8,3,51.2,51587
목감3교(목포0),3,경기도,시흥시,50.1,15.7,3,RC중공슬래브교,B,DB-24,28,3,20,51587
목감3교(목포1),기타,경기도,시흥시,50.3,7.2,1,PSC중공슬래브교,B,DB-24,8,3,20,51587
목감3교(서울0),3,경기도,시흥시,50.1,15.7,3,RC중공슬래브교,B,DB-24,28,3,20,51587
목감3교(서울1),기타,경기도,시흥시,50.3,7.4,1,PSC중공슬래브교,A,DB-24,8,3,20,51587
목감2교(목포0),기타,경기도,시흥시,13,15.7,3,라멘교,B,DB-24,28,1,13,51587
목감2교(목포1),기타,경기도,시흥시,13,5.8,1,라멘교,B,DB-24,8,1,13,51587
목감2교(서울),기타,경기도,시흥시,13,38.2,4,라멘교,B,DB-24,28,1,13,51587
목감IC교(목포0),3,경기도,시흥시,30,15.7,3,라멘교,B,DB-24,28,2,15,78207
목감IC교(목포1),기타,경기도,시흥시,28.6,5.6,1,라멘교,B,DB-24,8,2,14.3,78207
목감IC교(서울0),3,경기도,시흥시,30,19.3,4,라멘교,B,DB-24,28,2,15,78207
목감IC교(서울1),기타,경기도,시흥시,28.6,6.7,1,라멘교,B,DB-24,8,2,14.3,78207
목감1교(목포0),1,경기도,시흥시,290,15.9,3,강박스거더교,B,DB-24,28,5,70,78207
목감1교(목포1),1,경기도,시흥시,290.4,5.3,1,강박스거더교,B,DB-24,22,5,70,78207
목감1교(서울0),1,경기도,시흥시,315,15.7,3,강박스거더교,C,DB-24,28,6,70,78207
목감1교(서울1),1,경기도,시흥시,315.6,4.3,1,강박스거더교,B,DB-24,22,6,70,78207
목감1교(목포2),1,경기도,시흥시,290.4,5.7,1,강박스거더교,B,DB-24,8,5,70,78207
목감1교(서울2),1,경기도,시흥시,315.7,5.7,1,강박스거더교,B,DB-24,8,6,70,78207
박달2교(목포0),1,경기도,안양시 만안구,700,15.9,3,강박스거더교,B,DB-24,28,14,50,72344
박달2교(목포1),1,경기도,안양시 만안구,700,5.3,1,강박스거더교,B,DB-24,22,14,50,72344
박달2교(목포2),1,경기도,안양시 만안구,699.7,5.3,1,강박스거더교,B,DB-24,8,14,50,72344
박달2교(서울0),1,경기도,안양시 만안구,700,15.9,3,강박스거더교,C,DB-24,28,14,50,72344
박달2교(서울1),1,경기도,안양시 만안구,699.2,4.8,1,강박스거더교,B,DB-24,22,14,50,72344
박달2교(서울2),1,경기도,안양시 만안구,699.7,5.8,1,강박스거더교,B,DB-24,8,14,50,72344
박달교,3,경기도,안양시 만안구,40,22.8,4,프리플렉스거더교,B,DB-24,22,1,40,78207
광명역IC교,2,경기도,안양시 만안구,50.1,15.6,2,강박스거더교,B,DB-24,22,1,50.1,72344
박달1교(목포0),3,경기도,안양시 만안구,44.8,15.9,3,프리플렉스거더교,B,DB-24,28,1,44.8,72344
박달1교(목포1),3,경기도,안양시 만안구,44.9,5.3,1,프리플렉스거더교,B,DB-24,22,1,44.9,72344
박달1교(목포2),기타,경기도,안양시 만안구,44.9,4.3,1,프리플렉스거더교,B,DB-24,8,1,44.9,72344
박달1교(서울0),3,경기도,안양시 만안구,45,15.7,3,프리플렉스거더교,B,DB-24,28,1,45,72344
박달1교(서울1),3,경기도,안양시 만안구,44.9,5.8,1,프리플렉스거더교,B,DB-24,22,1,44.9,72344
박달1교(서울2),기타,경기도,안양시 만안구,44.9,5.6,1,프리플렉스거더교,B,DB-24,8,1,44.9,72344
석수교(목포0),3,경기도,안양시 만안구,34.9,15.8,3,프리플렉스거더교,B,DB-24,28,1,34.9,72344
석수교(서울0),3,경기도,안양시 만안구,34.9,23.7,5,프리플렉스거더교,B,DB-24,28,1,34.9,72344
석수교(목포1),기타,경기도,안양시 만안구,35,5.6,1,프리플렉스거더교,A,DB-24,7,1,35,72344
석수교(서울1),기타,경기도,안양시 만안구,34.9,5.6,1,프리플렉스거더교,B,DB-24,8,1,34.9,72344
소하교(목포),1,경기도,광명시,150,18,2,강박스거더교,B,DB-24,25,3,50,51277
소하교(서울),1,경기도,광명시,150,19.6,2,강박스거더교,B,DB-24,25,3,50,51277
금천고가교,1,서울특별시,금천구,2705,30.6,8,강박스거더교,B,DB-24,25,55,60,45216
신천4교(성남),3,경기도,시흥시,29.1,15.6,3,PSCI거더교,B,DB-24,29,1,29.1,38972
신천4교(인천),3,경기도,시흥시,30,15.6,3,PSCI거더교,B,DB-24,29,1,30,38972
신천3교(성남),3,경기도,시흥시,52,15.6,3,프리플렉스거더교,B,DB-24,29,2,26,38972
신천3교(인천),3,경기도,시흥시,52,15.6,3,프리플렉스거더교,B,DB-24,29,2,26,38972
신천2교(성남),1,경기도,시흥시,120.2,15.6,3,강박스거더교,B,DB-24,29,3,50,38972
신천2교(인천),1,경기도,시흥시,120.2,15.6,3,강박스거더교,B,DB-24,29,3,50,38972
신천IC교(성남),3,경기도,시흥시,48,15.6,3,라멘교,B,DB-24,29,3,24,54987
신천IC교(인천),3,경기도,시흥시,48,19.7,4,라멘교,B,DB-24,29,3,24,54987
신천1교(성남),기타,경기도,시흥시,10,19.7,4,라멘교,B,DB-24,29,1,10,54987
신천1교(인천),기타,경기도,시흥시,10,22.1,4,라멘교,B,DB-24,29,1,10,54987
은행3교(성남),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,54987
은행3교(인천),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,54987
은행2교(성남),3,경기도,시흥시,24,15.6,3,PSCI거더교,B,DB-24,29,1,24,54987
은행2교(인천),3,경기도,시흥시,24,15.6,3,PSCI거더교,B,DB-24,29,1,24,54987
은행1교(성남),3,경기도,시흥시,25.2,15.6,3,PSCI거더교,B,DB-24,29,1,25.2,54987
은행1교(인천),3,경기도,시흥시,25.2,15.6,3,PSCI거더교,B,DB-24,29,1,25.2,54987
안현교(성남),2,경기도,시흥시,50,15.6,3,강박스거더교,B,DB-24,29,1,50,54987
안현교(인천),2,경기도,시흥시,50,19.7,4,강박스거더교,B,DB-24,29,1,50,54987
과림2교(성남),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,68663
과림2교(인천),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,68663
과림1교(성남),2,경기도,시흥시,50,15.6,3,강박스거더교,B,DB-24,29,1,50,68663
과림1교(인천),2,경기도,시흥시,50,15.6,3,강박스거더교,B,DB-24,29,1,50,68663
목감천교(성남),3,경기도,광명시,54,15.6,3,라멘교,B,DB-24,29,3,22,68663
목감천교(인천),3,경기도,광명시,54,15.6,3,라멘교,B,DB-24,29,3,22,68663
운산교(성남),2,경기도,광명시,50.1,16.8,3,강박스거더교,B,DB-24,29,1,50.1,68663
운산교(인천),2,경기도,광명시,50.1,15.6,3,강박스거더교,B,DB-24,29,1,50.1,68663
광명IC교(성남),3,경기도,광명시,61,15.6,3,RC중공슬래브교,B,DB-24,29,3,25,68663
광명IC교(인천),3,경기도,광명시,61,19.7,4,RC중공슬래브교,B,DB-24,29,3,25,68663
소하2교(성남),3,경기도,광명시,90.2,16,3,PSCI거더교,B,DB-24,28,3,30.1,64102
소하2교(인천),3,경기도,광명시,90.2,16,3,PSCI거더교,B,DB-24,28,3,30.1,64102
소하1교(성남),2,경기도,광명시,50,15.7,3,강박스거더교,B,DB-24,27,1,50,64102
소하1교(인천),2,경기도,광명시,50,15.7,3,강박스거더교,B,DB-24,27,1,50,64102
일직JCTBOX4교,기타,경기도,광명시,9.8,50.3,6,라멘교,B,DB-24,28,1,9.8,63170
일직JCTBOX5교,기타,경기도,광명시,9.8,36.3,1,라멘교,B,DB-24,28,1,9.8,63170
일직JCTBOX9교,기타,경기도,광명시,11.3,32.1,1,라멘교,B,DB-24,28,1,11.3,63170
일직JCTBOX3교,기타,경기도,광명시,11,46.9,6,라멘교,B,DB-24,28,1,11,63170
일직JCTBOX6교,기타,경기도,광명시,11,43,1,라멘교,B,DB-24,28,1,11,63170
일직JCT5교,3,경기도,광명시,34.9,12.5,2,프리플렉스거더교,B,DB-24,28,1,34.9,63170
일직JCT1교(성남),2,경기도,광명시,115.2,15.7,3,강박스거더교,B,DB-24,28,3,45,63170
일직JCT1교(인천),2,경기도,광명시,115,15.7,3,강박스거더교,B,DB-24,28,3,45,63170
일직JCT2교,2,경기도,광명시,115,8.9,1,강박스거더교,B,DB-24,28,3,45,63170
일직JCT3교,2,경기도,광명시,115,8.9,1,강박스거더교,B,DB-24,27,3,45,63170
일직JCT4교,2,경기도,광명시,115,8.9,1,강박스거더교,B,DB-24,28,3,45,63170
일직JCTBOX2교,기타,경기도,광명시,9.8,43.1,6,라멘교,B,DB-24,28,1,9.8,63170
일직JCTBOX7교,기타,경기도,광명시,11,24.8,1,라멘교,B,DB-24,28,1,11,63170
일직JCTBOX8교,기타,경기도,광명시,11,18.4,1,라멘교,B,DB-24,28,1,11,63170
일직JCTBOX1교,기타,경기도,광명시,11.3,48.5,6,라멘교,B,DB-24,28,1,11.3,63170
안양천지교(0),2,경기도,안양시 만안구,104.3,8.9,1,PSCI거더교,B,DB-24,28,4,28.1,63170
안양천지교(1),2,경기도,안양시 만안구,100.5,5.6,1,PSCI거더교,B,DB-24,8,4,25.3,63170
안양천교(성남0),2,경기도,안양시 만안구,179.8,24.9,3,PSCI거더교,B,DB-24,28,6,30,63170
안양천교(성남1),기타,경기도,안양시 만안구,90.1,5.7,1,PSCI거더교,A,DB-24,8,3,30.1,63170
안양천교(인천),2,경기도,안양시 만안구,210,19.3,4,PSCI거더교,B,DB-24,28,7,30,63170
석수IC직결램프교,1,경기도,안양시 만안구,290,7.4,1,강박스거더교,B,DB-24,25,6,60,63170
석수IC1교,1,경기도,안양시 만안구,135.3,7.3,1,강박스거더교,B,DB-24,28,3,55.2,63170
석수IC교(성남),1,경기도,안양시 만안구,190,17.9,4,강박스거더교,B,DB-24,27,4,55,63170
석수IC교(인천),1,경기도,안양시 만안구,190,17.9,4,강박스거더교,B,DB-24,27,4,55,63170
월곶1교(강릉),1,경기도,시흥시,200.1,15.6,3,강박스거더교,C,DB-24,29,4,50.1,63701
월곶1교(인천),1,경기도,시흥시,200.1,15.6,3,강박스거더교,B,DB-24,29,4,50.1,63701
월곶IC교(강릉),3,경기도,시흥시,65.1,15.6,3,RC중공슬래브교,B,DB-24,29,3,25,63701
월곶IC교(인천),3,경기도,시흥시,65.1,23.7,3,RC중공슬래브교,B,DB-24,29,3,25,63701
월곶2교,기타,경기도,시흥시,10,34.3,6,라멘교,B,DB-24,29,1,10,63701
월곶3교(강릉),1,경기도,시흥시,445,15.9,3,프리플렉스거더교,B,DB-24,29,12,50,63701
월곶3교(인천),1,경기도,시흥시,465,15.9,3,프리플렉스거더교,B,DB-24,29,13,50,63701
월곶4교(강릉),2,경기도,시흥시,260.1,15.8,3,PSC박스거더교,B,DB-24,29,6,45,63701
월곶4교(인천),2,경기도,시흥시,260,15.6,3,PSC박스거더교,B,DB-24,29,6,45,63701
거모1교(강릉),2,경기도,시흥시,50.1,15.6,3,강박스거더교,B,DB-24,29,1,50.1,63701
거모1교(인천),2,경기도,시흥시,50.1,15.6,3,강박스거더교,B,DB-24,29,1,50.1,63701
거모2교(강릉),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,63701
거모2교(인천),기타,경기도,시흥시,10,15.6,3,라멘교,B,DB-24,29,1,10,63701
거모3교(강릉),2,경기도,시흥시,395.2,16.8,3,PSC박스거더교,B,DB-24,29,9,45,56092
거모3교(인천),2,경기도,시흥시,395.2,16.8,3,PSC박스거더교,B,DB-24,29,9,45,56092
거모4교(강릉),2,경기도,시흥시,210,15.8,3,PSCI거더교,B,DB-24,29,7,30,56092
거모4교(인천),2,경기도,시흥시,210,15.8,3,PSCI거더교,B,DB-24,29,7,30,56092
군자교(강릉),1,경기도,시흥시,420.4,15.6,3,PSC박스거더교,B,DB-24,29,9,50,56092
군자교(인천),1,경기도,시흥시,420.4,15.6,3,PSC박스거더교,B,DB-24,29,9,50,56092
서안산IC5교(0),3,경기도,안산시 단원구,40,15.1,3,강박스거더교,B,DB-24,29,1,40,56092
서안산IC5교(1),3,경기도,안산시 단원구,40,9.2,2,강박스거더교,B,DB-24,17,1,40,56092
서안산IC3교,3,경기도,안산시 단원구,40.1,8.6,1,PSC박스거더교,B,DB-24,29,1,40.1,56092
서안산IC1교(강릉),1,경기도,안산시 단원구,100.2,15.6,3,PSC박스거더교,B,DB-24,29,2,50.1,70482
서안산IC1교(인천),1,경기도,안산시 단원구,100.2,19.7,4,PSC박스거더교,B,DB-24,29,2,50.1,70482
서안산IC6교,기타,경기도,시흥시,10,51.3,5,강플레이트거더교,A,DB-24,17,1,10,70482
서안산IC2교(강릉),기타,경기도,안산시 단원구,10,19.6,5,라멘교,B,DB-24,29,1,10,70482
서안산IC2교(인천),기타,경기도,안산시 단원구,10,15.5,3,라멘교,B,DB-24,29,1,10,70482
서안산IC4교,기타,경기도,안산시 단원구,10,8.6,2,라멘교,B,DB-24,29,1,10,70482
서안산IC2교(강릉1),기타,경기도,안산시 단원구,10,6.1,1,라멘교,A,DB-24,5,1,10,70482
선부1교(강릉),기타,경기도,안산시 단원구,10,15.6,3,라멘교,B,DB-24,29,1,10,70482
선부1교(인천),기타,경기도,안산시 단원구,10,15.6,3,라멘교,B,DB-24,29,1,10,70482
선부2교(강릉),3,경기도,안산시 단원구,20.1,15.6,3,RC중공슬래브교,B,DB-24,29,1,20.1,70482
선부2교(인천),3,경기도,안산시 단원구,20.1,15.6,3,RC중공슬래브교,B,DB-24,29,1,20.1,70482
화정1교(강릉),1,경기도,안산시 단원구,270.3,15.6,3,PSC박스거더교,B,DB-24,29,6,50,70482
화정1교(인천),1,경기도,안산시 단원구,270.3,15.6,3,PSC박스거더교,B,DB-24,29,6,50,70482
화정2교(강릉),2,경기도,안산시 단원구,181.3,15.6,3,PSCI거더교,B,DB-24,29,6,30.2,70482
화정2교(인천),2,경기도,안산시 단원구,181.3,15.6,3,PSCI거더교,B,DB-24,29,6,30.2,70482
안산IC육교,2,경기도,안산시 상록구,55.4,15.6,2,강박스거더교,B,DB-24,22,1,55.4,62839
안산1교(0),3,경기도,안산시 상록구,20.1,22.8,4,라멘교,B,DB-24,22,2,10,62839
안산1교(1),3,경기도,안산시 상록구,20,4.6,1,라멘교,B,DB-24,17,2,10,62839
양상교(강릉0),2,경기도,안산시 상록구,211.9,15.6,3,PSCI거더교,B,DB-24,29,7,30.4,62839
양상교(강릉1),2,경기도,안산시 상록구,211.9,4.3,1,PSCI거더교,B,DB-24,22,7,30.4,62839
양상교(인천0),2,경기도,안산시 상록구,211.9,15.6,3,PSCI거더교,B,DB-24,29,7,30.4,62839
양상교(인천1),2,경기도,안산시 상록구,211.9,4.3,1,PSCI거더교,B,DB-24,22,7,30.4,62839
양상교(인천2),2,경기도,안산시 상록구,211.9,5.6,1,PSCI거더교,B,DB-24,17,7,30.4,62839
안산천3교(강릉0),1,경기도,안산시 상록구,100.2,14.5,3,PSC박스거더교,B,DB-24,29,2,50.1,62839
안산천3교(강릉1),1,경기도,안산시 상록구,100.2,8.9,1,강박스거더교,B,DB-24,27,2,50.1,62839
안산천3교(인천0),1,경기도,안산시 상록구,100.2,19.3,5,PSC박스거더교,B,DB-24,29,2,50.1,62839
안산천3교(인천1),1,경기도,안산시 상록구,100.2,8.2,2,강박스거더교,B,DB-24,27,2,50.1,62839
안산천2교(0),3,경기도,안산시 상록구,82.2,8.6,2,PSC중공슬래브교,B,DB-24,29,3,32,62839
안산천2교(1),기타,경기도,안산시 상록구,82.1,8.1,2,RC중공슬래브교,A,DB-24,8,3,32,62839
안산천4교(0),3,경기도,안산시 상록구,62,9,2,RC중공슬래브교,B,DB-24,22,3,25,62839
안산천4교(1),기타,경기도,안산시 상록구,62,7.6,2,RC중공슬래브교,A,DB-24,8,3,25,62839
안산JCT1교(강릉0),1,경기도,안산시 상록구,120.2,12,2,PSC박스거더교,B,DB-24,29,2,61.1,62839
안산JCT1교(강릉1),1,경기도,안산시 상록구,121.1,4.8,1,강박스거더교,B,DB-24,22,2,61,62839
안산JCT1교(인천0),1,경기도,안산시 상록구,120.2,12,2,PSC박스거더교,B,DB-24,29,2,61.1,62839
안산JCT1교(인천1),1,경기도,안산시 상록구,119.7,4.8,1,강박스거더교,B,DB-24,22,2,62.7,62839
안산JCT5교(0),1,경기도,안산시 상록구,160.2,8.6,2,강박스거더교,B,DB-24,29,3,60,62839
안산JCT5교(1),1,경기도,안산시 상록구,160.2,7.8,2,강박스거더교,B,DB-24,8,3,55.1,62839
안산JCT2교(강릉0),3,경기도,안산시 상록구,65.1,12,2,RC중공슬래브교,B,DB-24,29,3,25,62839
안산JCT2교(강릉1),3,경기도,안산시 상록구,65.2,4.8,1,RC중공슬래브교,B,DB-24,22,3,25,62839
안산JCT2교(인천0),3,경기도,안산시 상록구,65.1,12,2,RC중공슬래브교,B,DB-24,29,3,25,62839
안산JCT2교(인천1),3,경기도,안산시 상록구,65.2,4.8,1,RC중공슬래브교,B,DB-24,22,3,25,62839
안산JCT3교(강릉0),2,경기도,안산시 상록구,60.2,14.9,3,강박스거더교,B,DB-24,29,1,60.2,62839
안산JCT3교(강릉1),2,경기도,안산시 상록구,60.3,4.4,1,강박스거더교,B,DB-24,22,1,60.3,62839
안산JCT3교(강릉2),2,경기도,안산시 상록구,60.9,5.6,1,강박스거더교,B,DB-24,8,1,60.9,62839
안산JCT3교(인천0),2,경기도,안산시 상록구,60.2,12,3,강박스거더교,B,DB-24,29,1,60.2,62839
안산JCT3교(인천1),2,경기도,안산시 상록구,60.3,7.4,1,강박스거더교,B,DB-24,22,1,60.3,62839
안산JCT3교(인천2),2,경기도,안산시 상록구,60.2,5.6,1,강박스거더교,B,DB-24,8,1,60.2,62839
개매교(강릉0),3,경기도,군포시,39.1,12,3,RC슬래브교,B,DB-24,32,3,15,65628
개매교(강릉1),3,경기도,군포시,38.8,6.3,1,RC슬래브교,B,DB-24,22,3,14.9,65628
개매교(인천0),3,경기도,군포시,39.1,12,2,RC슬래브교,B,DB-24,32,3,15,65628
개매교(인천1),3,경기도,군포시,38.8,6,1,RC슬래브교,B,DB-24,22,3,14.9,65628
반월교(강릉0),3,경기도,군포시,90.8,12,3,PSCI거더교,B,DB-24,32,3,30.4,65628
반월교(강릉1),3,경기도,군포시,90.8,4.8,1,PSCI거더교,B,DB-24,22,3,30.4,65628
반월교(인천0),3,경기도,군포시,90.8,12,3,PSCI거더교,B,DB-24,32,3,30.4,65628
반월교(인천1),3,경기도,군포시,90.8,4.8,1,PSCI거더교,B,DB-24,22,3,30.4,65628
둔대교(강릉),3,경기도,군포시,35.7,16.8,3,라멘교,B,DB-24,22,2,18,65628
둔대교(인천),3,경기도,군포시,35.7,16.8,3,라멘교,B,DB-24,22,2,18,65628
삼천교(강릉0),3,경기도,군포시,39.1,12,3,RC슬래브교,B,DB-24,32,3,15,65628
삼천교(강릉1),3,경기도,군포시,39.1,4.8,1,RC슬래브교,B,DB-24,22,3,15,65628
삼천교(인천0),3,경기도,군포시,39.1,12,3,RC슬래브교,B,DB-24,32,3,15,65628
삼천교(인천1),3,경기도,군포시,39.1,4.8,1,RC슬래브교,B,DB-24,22,3,15,65628
둔대철육교(강릉0),3,경기도,군포시,45.1,12,3,강플레이트거더교,B,DB-24,32,1,45.1,70076
둔대철육교(강릉1),3,경기도,군포시,45.1,7.8,1,강플레이트거더교,B,DB-24,22,1,45.1,70076
둔대철육교(인천0),3,경기도,군포시,45.1,12,3,강플레이트거더교,B,DB-24,32,1,45.1,70076
둔대철육교(인천1),3,경기도,군포시,45.1,7.8,1,강플레이트거더교,B,DB-24,22,1,45.1,70076
군포IC3교,2,경기도,군포시,55,15.6,2,강박스거더교,B,DB-24,22,1,55,70076
군포IC2교(강릉),기타,경기도,군포시,8,10.9,2,라멘교,B,DB-24,22,1,8,70076
군포IC2교(인천),기타,경기도,군포시,8,11.4,2,라멘교,B,DB-24,22,1,8,70076
대야미육교(강릉0),1,경기도,군포시,110,11.9,3,강플레이트거더교,B,DB-24,32,3,50,70076
대야미육교(강릉1),1,경기도,군포시,110,7.9,1,강플레이트거더교,B,DB-24,22,3,50,70076
대야미육교(인천0),1,경기도,군포시,110,16.2,3,강플레이트거더교,B,DB-24,32,3,50,70076
대야미육교(인천1),1,경기도,군포시,110,5.7,1,강플레이트거더교,B,DB-24,22,3,50,70076
군포IC1교(강릉),기타,경기도,군포시,8,11.7,2,라멘교,B,DB-24,22,1,8,70076
군포IC1교(인천),기타,경기도,군포시,8,11.7,2,라멘교,B,DB-24,22,1,8,70076
반월육교,2,경기도,군포시,100,16.7,2,강박스거더교,B,DB-24,32,3,45,70076
군포1육교(강릉),기타,경기도,군포시,12,16.8,3,라멘교,B,DB-24,22,1,12,74974
군포1육교(인천),기타,경기도,군포시,12,16.8,3,라멘교,B,DB-24,22,1,12,74974
군포1육교(인천1),기타,경기도,군포시,12,4.1,1,라멘교,A,DB-24,10,1,12,74974
동군포IC2교,1,경기도,군포시,120,8.5,1,강박스거더교,B,DB-24,10,3,52,74974
군포육교(강릉0),3,경기도,군포시,40.8,12,3,프리플렉스거더교,B,DB-24,32,1,40.8,74974
군포육교(강릉1),3,경기도,군포시,40.8,4.8,1,프리플렉스거더교,B,DB-24,22,1,40.8,74974
군포육교(인천0),3,경기도,군포시,40.8,12,2,프리플렉스거더교,B,DB-24,32,1,40.8,74974
군포육교(인천1),3,경기도,군포시,40.8,4.8,1,프리플렉스거더교,B,DB-24,22,1,40.8,74974
동군포IC1교,기타,경기도,군포시,40.5,8.5,1,프리플렉스거더교,B,DB-24,10,1,40.5,74974
군포2육교,3,경기도,군포시,40.8,8.5,1,프리플렉스거더교,B,DB-24,22,1,40.8,74974
동군포IC3교,기타,경기도,군포시,8.1,46.5,8,라멘교,A,DB-24,10,1,8.1,74974
부곡철육교(강릉0),1,경기도,군포시,383.8,12,3,PSCI거더교,C,DB-24,32,9,75,78648
부곡철육교(강릉1),1,경기도,군포시,383.8,5.2,1,PSCI거더교,C,DB-24,22,9,75,78648
부곡철육교(인천0),1,경기도,군포시,395.1,12,3,PSCI거더교,C,DB-24,32,9,75,78648
부곡철육교(인천1),1,경기도,군포시,395.1,5.2,1,PSCI거더교,B,DB-24,22,9,75,78648
대우교(0),기타,경기도,의왕시,15,27.4,6,라멘교,B,DB-24,32,1,15,78648
대우교(강릉1),기타,경기도,의왕시,15,4.6,1,라멘교,B,DB-24,22,1,15,78648
대우교(인천1),기타,경기도,의왕시,15,4.6,1,라멘교,B,DB-24,22,1,15,78648
삼삼육교(강릉0),3,경기도,의왕시,50,12,3,라멘교,B,DB-24,32,3,24,78648
삼삼육교(강릉1),3,경기도,의왕시,50,4.5,1,라멘교,B,DB-24,22,3,24,78648
삼삼육교(인천0),3,경기도,의왕시,50,16.1,3,라멘교,B,DB-24,32,3,24,78648
삼삼육교(인천1),3,경기도,의왕시,50,4.1,1,라멘교,B,DB-24,22,3,24,78648
부곡IC1교(진입),3,경기도,의왕시,30.8,17.1,3,라멘교,B,DB-24,22,2,15.4,78648
부곡IC1교(진출),3,경기도,의왕시,30.8,13,2,라멘교,B,DB-24,22,2,15.4,78648
부곡IC교(강릉),3,경기도,의왕시,35,19.3,4,라멘교,B,DB-24,32,2,17.5,78648
부곡IC교(인천0),3,경기도,의왕시,35,12,3,라멘교,B,DB-24,32,2,17.5,78648
부곡IC교(인천1),3,경기도,의왕시,35,4.8,1,라멘교,B,DB-24,22,2,17.5,78648
이목교(강릉0),3,경기도,수원시 장안구,65,12,3,RC중공슬래브교,B,DB-24,32,3,25,80392
이목교(강릉1),3,경기도,수원시 장안구,65,4.8,1,RC중공슬래브교,B,DB-24,22,3,25,80392
이목교(인천0),3,경기도,수원시 장안구,65,12,3,RC중공슬래브교,B,DB-24,32,3,25,80392
이목교(인천1),3,경기도,수원시 장안구,65,4.8,1,RC중공슬래브교,B,DB-24,22,3,25,80392
파정육교(강릉),1,경기도,수원시 장안구,150,16.7,3,강박스거더교,C,DB-24,32,3,60,80392
파정육교(인천0),1,경기도,수원시 장안구,150,12.7,3,강박스거더교,C,DB-24,32,3,60,80392
파정육교(인천1),1,경기도,수원시 장안구,150,9.7,1,강박스거더교,C,DB-24,22,3,60,80392
북수원IC2교,2,경기도,의왕시,60,19.2,3,강박스거더교,B,DB-24,22,1,60,80392
북수원IC1교(진입),3,경기도,수원시 장안구,90.1,11.4,2,PSCI거더교,B,DB-24,22,3,30.1,80392
북수원IC1교(진출),3,경기도,수원시 장안구,90.1,11.4,2,PSCI거더교,B,DB-24,22,3,30.1,80392
북수원IC교(강릉0),3,경기도,수원시 장안구,40.1,12.1,3,프리플렉스거더교,B,DB-24,32,1,40.1,80392
북수원IC교(강릉1),3,경기도,수원시 장안구,40.1,9.2,2,프리플렉스거더교,B,DB-24,22,1,40.1,80392
북수원IC교(인천0),3,경기도,수원시 장안구,40.1,12.1,3,프리플렉스거더교,B,DB-24,32,1,40.1,80392
북수원IC교(인천1),3,경기도,수원시 장안구,40.1,4.6,1,프리플렉스거더교,B,DB-24,22,1,40.1,80392
파장육교,3,경기도,수원시 장안구,59.8,5,1,강플레이트거더교,B,DB-18,22,3,30,82280
파장교(강릉0),3,경기도,수원시 장안구,50,12,3,RC중공슬래브교,B,DB-24,32,3,20,82280
파장교(강릉1),3,경기도,수원시 장안구,50,8.4,2,RC중공슬래브교,B,DB-24,22,3,20,82280
파장교(인천0),3,경기도,수원시 장안구,50,12,3,RC중공슬래브교,B,DB-24,32,3,20,82280
파장교(인천1),3,경기도,수원시 장안구,50,4.8,1,RC중공슬래브교,B,DB-24,22,3,20,82280
파장교(인천2),3,경기도,수원시 장안구,50,4.7,1,RC중공슬래브교,B,DB-24,17,3,20,82280
송죽교(강릉),3,경기도,수원시 장안구,25.2,16.8,4,PSCI거더교,B,DB-24,22,1,25.2,82280
송죽교(강릉1),기타,경기도,수원시 장안구,25.2,4.8,1,PSCI거더교,A,DB-24,10,1,25.2,82280
송죽교(인천0),3,경기도,수원시 장안구,25.2,16.8,4,PSCI거더교,B,DB-24,22,1,25.2,82280
송죽교(인천1),3,경기도,수원시 장안구,25.2,4.8,1,PSCI거더교,B,DB-24,17,1,25.2,82280
하광교(강릉0),기타,경기도,수원시 장안구,15,12.3,3,라멘교,B,DB-24,32,1,15,82280
하광교(강릉1),기타,경기도,수원시 장안구,15,5,1,라멘교,A,DB-24,22,1,15,82280
